  2363,"-          ","02363   ", 9.11,+0.15,2455332.7629835, 13, 13, 14, 14,"DVBI", 95.976,  1.171,0.044,0.006,0.133,0.010,0.695,0.014,"-","Gr12b",""
  2456,"-          ","02456   ", 9.40,+0.15,2455438.2387760, 11, 10, 11,  0,"DV-I", 65.916,  0.512,0.071,0.010,0.145,0.012,0.770,0.050,"-","Gr12b",""
  2594,"-          ","02594   ",11.60,+0.15,2455282.0284720,  0,  0, 10, 10,"DVB-", 25.874,  0.594,0.060,0.006,0.121,0.033,0.919,0.030,"-","Gr12b",""
  2674,"-          ","02674   ", 9.20,+0.15,2455318.3473130, 13, 13, 13, 13,"DVBI", 74.267,  0.316,0.067,0.012,0.148,0.008,0.862,0.002,"-","Gr12b",""
  2759,"-          ","02759   ", 9.90,+0.15,2455212.1868650, 11,  0, 11, 11,"DVBI", 53.676,  0.667,0.067,0.011,0.129,0.006,0.758,0.013,"-","Gr12b",""
  2797,"-          ","02797   ", 8.70,+0.15,2455431.1326825, 13, 13, 12,  0,"DV-I", 89.430,  0.755,0.073,0.007,0.152,0.016,0.770,0.050,"-","Gr12b",""
  2893,"-          ","02893   ", 9.23,+0.15,2455288.8407940, 11, 11, 14, 15,"DVBI", 86.884,  0.954,0.048,0.008,0.114,0.008,0.771,0.012,"-","Gr12b",""
  2895,"-          ","02895   ", 9.90,+0.15,2455308.6207190, 11,  0, 13, 13,"DVBI", 56.706,  0.200,0.060,0.016,0.096,0.008,0.721,0.006,"-","Gr12b",""
  2920,"-          ","02920   ", 8.80,+0.15,2455205.8722125,  6,  6,  6,  6,"DVBI", 88.574,  1.796,0.068,0.009,0.147,0.008,0.784,0.025,"-","Gr12b",""
  3063,"-          ","03063   ", 8.50,+0.15,2455218.9413045, 13, 12, 12, 13,"DVBI",111.655,  1.544,0.056,0.005,0.128,0.012,0.828,0.014,"-","Gr12b",""
  3240,"-          ","03240   ",10.10,+0.15,2455288.3458320,  0,  0, 13, 13,"DVB-", 51.695,  0.252,0.060,0.014,0.121,0.025,0.810,0.008,"-","Gr12b",""
  3317,"-          ","03317   ", 8.40,+0.15,2455319.2719785, 15, 14, 12, 15,"DVBI",118.790,  1.175,0.055,0.009,0.129,0.012,0.769,0.011,"-","Gr12b",""
  3391,"-          ","03391   ",10.30,+0.15,2455441.5789140,  0,  0,  7,  0,"DV--", 37.862,  6.824,0.093,0.036,0.187,0.127,0.770,0.050,"-","Gr12b",""
  3451,"-          ","03451   ", 8.50,+0.15,2455324.0991095, 14, 14, 13, 13,"DVBI",126.288,  1.642,0.044,0.008,0.077,0.006,0.739,0.014,"-","Gr12b",""
  3540,"-          ","03540   ", 9.40,+0.15,2455211.6617210,  9,  0, 10, 10,"DVBI", 70.225,  1.076,0.062,0.014,0.135,0.011,0.840,0.020,"-","Gr12b",""
  3548,"-          ","03548   ", 9.80,+0.15,2455228.0709015, 13, 13, 13, 13,"DVBI", 63.885,  0.299,0.052,0.007,0.079,0.005,0.828,0.009,"-","Gr12b",""
  3564,"-          ","03564   ", 9.30,+0.15,2455205.4411075, 10, 10, 10, 10,"DVBI", 73.730,  0.578,0.062,0.016,0.131,0.006,0.780,0.005,"-","Gr12b",""
  3596,"-          ","03596   ", 9.20,+0.15,2455218.9428960, 12, 12, 12, 12,"DVBI", 87.380,  1.087,0.048,0.008,0.138,0.007,0.663,0.017,"-","Gr12b",""
  3708,"1974 FV1   ","03708   ", 9.30,+0.15,2455284.0132240,  9,  0, 12, 13,"DVBI", 75.661,  0.807,0.059,0.004,0.119,0.016,0.838,0.013,"-","Gr12b",""
  3709,"-          ","03709   ", 9.20,+0.15,2455510.1109565, 18, 19,  6,  0,"DV-I", 65.297,  0.893,0.087,0.017,0.181,0.006,0.770,0.050,"-","Gr12b",""
  3793,"-          ","03793   ", 8.80,+0.15,2455211.7916060, 11, 11, 11, 11,"DVBI",112.046,  1.846,0.042,0.005,0.096,0.004,0.648,0.019,"-","Gr12b",""
  3794,"-          ","03794   ",10.30,+0.15,2455223.6383255, 10,  0, 12, 12,"DVBI", 34.531,  0.364,0.112,0.020,0.132,0.016,0.912,0.028,"-","Gr12b",""
  3801,"-          ","03801   ",10.90,+0.15,2455214.4384650, 10,  0, 10, 11,"DVBI", 34.285,  0.417,0.066,0.015,0.159,0.023,0.808,0.008,"-","Gr12b",""
  4007,"-          ","04007   ",10.30,+0.15,2455214.0440335, 11,  0, 12, 12,"DVBI", 45.515,  0.351,0.065,0.017,0.134,0.013,0.872,0.012,"-","Gr12b",""
  4035,"1986 WD    ","04035   ", 9.60,+0.15,2455210.5364305, 13, 13, 13, 13,"DVBI", 68.733,  1.243,0.054,0.008,0.129,0.010,0.811,0.020,"-","Gr12b",""
  4057,"-          ","04057   ",10.10,+0.15,2455430.3371375, 12,  0, 10,  0,"DV-I", 45.683,  6.581,0.077,0.015,0.115,0.028,0.770,0.050,"-","Gr12b",""
  4060,"-          ","04060   ", 9.40,+0.15,2455503.3649715, 23, 23, 11,  0,"DV-I", 84.043,  0.572,0.043,0.003,0.077,0.006,0.770,0.050,"-","Gr12b",""
  4063,"-          ","04063   ", 8.60,+0.15,2455210.9293335,  9,  9,  9,  9,"DVBI", 95.619,  0.677,0.070,0.005,0.144,0.009,0.750,0.011,"-","Gr12b",""
  4068,"-          ","04068   ", 9.50,+0.15,2455499.1982195, 25, 25, 12,  8,"DVBI", 67.625,  1.234,0.061,0.011,0.137,0.006,0.760,0.022,"-","Gr12b",""
  4086,"-          ","04086   ", 9.20,+0.15,2455234.8204460, 13, 13, 13, 14,"DVBI", 85.495,  0.408,0.050,0.007,0.126,0.007,0.748,0.006,"-","Gr12b",""
  4138,"-          ","04138   ",10.00,+0.15,2455217.5495625, 11,  0, 11, 11,"DVBI", 46.462,  0.669,0.082,0.006,0.128,0.009,0.810,0.019,"-","Gr12b",""
  4348,"-          ","04348   ", 9.75,+0.15,2455287.9805630,  0,  0, 13, 13,"DVB-", 82.032,  0.626,0.033,0.005,0.066,0.016,0.754,0.009,"-","Gr12b",""
  4489,"1988 AK    ","04489   ", 9.10,+0.15,2455501.5798845, 26, 25, 12,  0,"DV-I", 76.595,  0.411,0.069,0.005,0.145,0.016,0.770,0.050,"-","Gr12b",""
  4501,"-          ","04501   ",10.30,+0.15,2455228.4015350, 12,  0, 12, 12,"DVBI", 45.524,  0.767,0.065,0.013,0.113,0.007,0.827,0.021,"-","Gr12b",""
  4543,"-          ","04543   ", 9.70,+0.15,2455228.4702975, 12, 12, 12, 12,"DVBI", 63.836,  0.383,0.057,0.017,0.129,0.012,0.808,0.005,"-","Gr12b",""
  4707,"-          ","04707   ",10.40,+0.15,2455295.1276590,  0,  0, 13, 13,"DVB-", 37.766,  0.465,0.086,0.021,0.171,0.075,0.880,0.026,"-","Gr12b",""
  4708,"-          ","04708   ", 9.90,+0.15,2455281.3661870,  0,  0, 13, 14,"DVB-", 54.964,  0.552,0.064,0.005,0.128,0.020,0.802,0.009,"-","Gr12b",""
  4709,"-          ","04709   ", 8.60,+0.15,2455321.7177615, 19, 18, 18, 20,"DVBI", 91.433,  0.777,0.077,0.009,0.080,0.002,0.927,0.011,"-","Gr12b",""
  4715,"1989 TS1   ","04715   ", 9.70,+0.15,2455292.6163630, 25, 21, 27, 27,"DVBI", 62.097,  0.425,0.060,0.010,0.134,0.009,0.812,0.008,"-","Gr12b",""
  4722,"-          ","04722   ", 9.90,+0.15,2455288.0485620,  0,  0, 14, 14,"DVB-", 50.378,  0.342,0.076,0.012,0.153,0.040,0.791,0.007,"-","Gr12b",""
  4754,"-          ","04754   ",10.00,+0.15,2455323.6387195, 12,  7, 13, 13,"DVBI", 53.025,  1.145,0.063,0.011,0.126,0.017,0.774,0.022,"-","Gr12b",""
  4791,"-          ","04791   ", 9.90,+0.15,2455287.3192975,  0,  0, 13, 13,"DVB-", 49.528,  0.657,0.079,0.005,0.158,0.035,0.933,0.017,"-","Gr12b",""
  4792,"-          ","04792   ",10.00,+0.15,2455288.6441845, 11,  0, 14, 14,"DVBI", 50.870,  0.699,0.068,0.008,0.124,0.007,0.780,0.015,"-","Gr12b",""
  4805,"-          ","04805   ", 9.90,+0.15,2455279.1170175,  0,  0, 12, 13,"DVB-", 57.647,  0.737,0.058,0.013,0.117,0.042,0.808,0.017,"-","Gr12b",""
  4827,"-          ","04827   ",10.40,+0.15,2455298.4338625, 10,  0, 13, 13,"DVBI", 42.770,  0.258,0.067,0.007,0.138,0.014,0.819,0.008,"-","Gr12b",""
  4828,"-          ","04828   ",10.30,+0.15,2455294.2695290, 14,  0, 16, 16,"DVBI", 45.954,  0.337,0.063,0.010,0.130,0.014,0.801,0.008,"-","Gr12b",""
  4829,"-          ","04829   ",11.00,+0.15,2455313.5168065,  0,  0, 12, 12,"DVB-", 32.220,  0.321,0.068,0.008,0.135,0.033,0.758,0.014,"-","Gr12b",""
